Date,Open,High,Low,Close,Adj Close,Volume
2019-10-15,22063.710938,22219.630859,22049.710938,22207.210938,22207.210938,74500000.0
2019-10-16,22479.570313,22615.470703,22434.349609,22472.919922,22472.919922,78700000.0
2019-10-17,22451.150391,22522.390625,22424.919922,22451.859375,22451.859375,57800000.0
2019-10-18,22528.560547,22649.849609,22466.259766,22492.679688,22492.679688,59200000.0
2019-10-19,22528.560547,22649.849609,22466.259766,22492.679688,22492.679688,59200000.0
2019-10-20,22528.560547,22649.849609,22466.259766,22492.679688,22492.679688,59200000.0
2019-10-21,22541.220703,22581.279297,22515.730469,22548.900391,22548.900391,48400000.0
2019-10-22,22541.220703,22581.279297,22515.730469,22548.900391,22548.900391,48400000.0
2019-10-23,22619.769531,22648.810547,22457.890625,22625.380859,22625.380859,68000000.0
2019-10-24,22725.439453,22780.990234,22704.330078,22750.599609,22750.599609,61300000.0
2019-10-25,22753.240234,22819.919922,22715.130859,22799.810547,22799.810547,57200000.0
2019-10-26,22753.240234,22819.919922,22715.130859,22799.810547,22799.810547,57200000.0
2019-10-27,22753.240234,22819.919922,22715.130859,22799.810547,22799.810547,57200000.0
2019-10-28,22854.439453,22896.220703,22830.570313,22867.269531,22867.269531,48100000.0
2019-10-29,22950.789063,23008.429688,22935.349609,22974.130859,22974.130859,72900000.0
2019-10-30,22953.169922,22961.230469,22827.929688,22843.119141,22843.119141,101600000.0
2019-10-31,22910.099609,22988.800781,22875.5,22927.039063,22927.039063,78300000.0
2019-11-01,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400000.0
2019-11-02,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400000.0
2019-11-03,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400000.0
2019-11-04,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400000.0
2019-11-05,23118.789063,23328.519531,23090.939453,23251.990234,23251.990234,102100000.0
2019-11-06,23343.509766,23352.560547,23246.570313,23303.820313,23303.820313,77400000.0
2019-11-07,23283.140625,23336.0,23253.320313,23330.320313,23330.320313,70900000.0
2019-11-08,23550.039063,23591.089844,23313.410156,23391.869141,23391.869141,94600000.0
2019-11-09,23550.039063,23591.089844,23313.410156,23391.869141,23391.869141,94600000.0
2019-11-10,23550.039063,23591.089844,23313.410156,23391.869141,23391.869141,94600000.0
2019-11-11,23422.130859,23471.820313,23323.019531,23331.839844,23331.839844,61500000.0
2019-11-12,23336.369141,23545.699219,23312.25,23520.009766,23520.009766,63000000.0
2019-11-13,23439.25,23452.630859,23270.929688,23319.869141,23319.869141,63400000.0
2019-11-14,23325.5,23360.060547,23062.160156,23141.550781,23141.550781,79900000.0
2019-11-15,23160.529297,23340.769531,23121.589844,23303.320313,23303.320313,72200000.0
2019-11-16,23160.529297,23340.769531,23121.589844,23303.320313,23303.320313,72200000.0
2019-11-17,23160.529297,23340.769531,23121.589844,23303.320313,23303.320313,72200000.0
2019-11-18,23304.25,23420.619141,23271.289063,23416.759766,23416.759766,57300000.0
2019-11-19,23366.359375,23389.529297,23244.929688,23292.650391,23292.650391,64200000.0
2019-11-20,23176.490234,23303.169922,23086.119141,23148.570313,23148.570313,65700000.0
2019-11-21,23071.490234,23108.080078,22726.710938,23038.580078,23038.580078,69800000.0
2019-11-22,23030.330078,23219.509766,23030.330078,23112.880859,23112.880859,55600000.0
2019-11-23,23030.330078,23219.509766,23030.330078,23112.880859,23112.880859,55600000.0
2019-11-24,23030.330078,23219.509766,23030.330078,23112.880859,23112.880859,55600000.0
2019-11-25,23292.849609,23347.179688,23255.390625,23292.810547,23292.810547,50300000.0
2019-11-26,23451.400391,23608.060547,23350.099609,23373.320313,23373.320313,94300000.0
2019-11-27,23452.849609,23507.820313,23418.230469,23437.769531,23437.769531,52200000.0
2019-11-28,23458.880859,23482.320313,23367.330078,23409.140625,23409.140625,44800000.0
2019-11-29,23497.439453,23498.769531,23273.369141,23293.910156,23293.910156,52100000.0
2019-11-30,23497.439453,23498.769531,23273.369141,23293.910156,23293.910156,52100000.0
2019-12-01,23497.439453,23498.769531,23273.369141,23293.910156,23293.910156,52100000.0
2019-12-02,23388.630859,23562.050781,23378.400391,23529.5,23529.5,47700000.0
2019-12-03,23231.140625,23388.179688,23186.839844,23379.810547,23379.810547,58800000.0
2019-12-04,23186.740234,23203.769531,23044.779297,23135.230469,23135.230469,58100000.0
2019-12-05,23292.699219,23363.439453,23259.820313,23300.089844,23300.089844,61400000.0
2019-12-06,23347.669922,23412.480469,23338.400391,23354.400391,23354.400391,54400000.0
2019-12-07,23347.669922,23412.480469,23338.400391,23354.400391,23354.400391,54400000.0
2019-12-08,23347.669922,23412.480469,23338.400391,23354.400391,23354.400391,54400000.0
2019-12-09,23544.310547,23544.310547,23360.009766,23430.699219,23430.699219,55800000.0
2019-12-10,23372.390625,23449.470703,23336.929688,23410.189453,23410.189453,52800000.0
2019-12-11,23421.140625,23438.429688,23333.630859,23391.859375,23391.859375,61300000.0
2019-12-12,23449.279297,23468.150391,23360.429688,23424.810547,23424.810547,56300000.0
2019-12-13,23810.560547,24050.039063,23775.730469,24023.099609,24023.099609,115500000.0
2019-12-14,23810.560547,24050.039063,23775.730469,24023.099609,24023.099609,115500000.0
2019-12-15,23810.560547,24050.039063,23775.730469,24023.099609,24023.099609,115500000.0
2019-12-16,23955.199219,24036.300781,23950.050781,23952.349609,23952.349609,53300000.0
2019-12-17,24091.119141,24091.119141,23996.509766,24066.119141,24066.119141,64000000.0
2019-12-18,24023.269531,24046.089844,23919.359375,23934.429688,23934.429688,66300000.0
2019-12-19,23911.460938,23945.529297,23835.289063,23864.849609,23864.849609,55600000.0
2019-12-20,23893.449219,23908.769531,23746.630859,23816.630859,23816.630859,70300000.0
2019-12-21,23893.449219,23908.769531,23746.630859,23816.630859,23816.630859,70300000.0
2019-12-22,23893.449219,23908.769531,23746.630859,23816.630859,23816.630859,70300000.0
2019-12-23,23921.289063,23923.089844,23810.820313,23821.109375,23821.109375,45200000.0
2019-12-24,23839.179688,23853.560547,23796.349609,23830.580078,23830.580078,37900000.0
2019-12-25,23813.589844,23824.849609,23782.869141,23782.869141,23782.869141,31600000.0
2019-12-26,23787.699219,23931.509766,23775.400391,23924.919922,23924.919922,40300000.0
2019-12-27,23953.75,23967.179688,23837.720703,23837.720703,23837.720703,44800000.0
2019-12-28,23953.75,23967.179688,23837.720703,23837.720703,23837.720703,44800000.0
2019-12-29,23953.75,23967.179688,23837.720703,23837.720703,23837.720703,44800000.0
2019-12-30,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2019-12-31,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-01,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-02,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-03,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-04,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-05,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600000.0
2020-01-06,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800000.0
2020-01-07,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300000.0
2020-01-08,23217.490234,23303.210938,22951.179688,23204.759766,23204.759766,79400000.0
2020-01-09,23530.289063,23767.089844,23506.150391,23739.869141,23739.869141,62200000.0
2020-01-10,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0
2020-01-11,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0
2020-01-12,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0
2020-01-13,23813.279297,23903.289063,23761.080078,23850.570313,23850.570313,55900000.0
2020-01-14,23969.039063,24059.859375,23951.660156,24025.169922,24025.169922,64200000.0
2020-01-15,23923.480469,23997.390625,23875.820313,23916.580078,23916.580078,57200000.0
2020-01-16,23960.199219,23975.380859,23905.380859,23933.130859,23933.130859,55400000.0
2020-01-17,24103.449219,24115.949219,24013.75,24041.259766,24041.259766,59400000.0
2020-01-18,24103.449219,24115.949219,24013.75,24041.259766,24041.259766,59400000.0
2020-01-19,24103.449219,24115.949219,24013.75,24041.259766,24041.259766,59400000.0
2020-01-20,24080.679688,24108.109375,24061.669922,24083.509766,24083.509766,38300000.0
2020-01-21,24072.810547,24081.75,23843.480469,23864.560547,23864.560547,44600000.0
2020-01-22,23835.490234,24040.869141,23831.099609,24031.349609,24031.349609,49000000.0
2020-01-23,23843.509766,23910.009766,23779.230469,23795.439453,23795.439453,55500000.0
2020-01-24,23850.119141,23869.380859,23755.320313,23827.179688,23827.179688,48700000.0
2020-01-25,23850.119141,23869.380859,23755.320313,23827.179688,23827.179688,48700000.0
2020-01-26,23850.119141,23869.380859,23755.320313,23827.179688,23827.179688,48700000.0
2020-01-27,23427.900391,23463.890625,23317.320313,23343.509766,23343.509766,62400000.0
2020-01-28,23126.929688,23243.359375,23115.150391,23215.710938,23215.710938,64400000.0
2020-01-29,23309.320313,23392.609375,23214.279297,23379.400391,23379.400391,54900000.0
2020-01-30,23284.580078,23318.570313,22892.949219,22977.75,22977.75,69600000.0
2020-01-31,23148.919922,23421.589844,23139.980469,23205.179688,23205.179688,75400000.0
2020-02-01,23148.919922,23421.589844,23139.980469,23205.179688,23205.179688,75400000.0
2020-02-02,23148.919922,23421.589844,23139.980469,23205.179688,23205.179688,75400000.0
2020-02-03,22874.269531,23023.730469,22775.919922,22971.939453,22971.939453,72500000.0
2020-02-04,22881.130859,23118.130859,22854.449219,23084.589844,23084.589844,67900000.0
2020-02-05,23351.470703,23414.689453,23241.640625,23319.560547,23319.560547,70300000.0
2020-02-06,23641.099609,23995.369141,23625.130859,23873.589844,23873.589844,95100000.0
2020-02-07,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400000.0
2020-02-08,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400000.0
2020-02-09,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400000.0
2020-02-10,23631.789063,23788.25,23621.720703,23685.980469,23685.980469,56500000.0
2020-02-11,23631.789063,23788.25,23621.720703,23685.980469,23685.980469,56500000.0
2020-02-12,23741.210938,23869.730469,23693.720703,23861.210938,23861.210938,74600000.0
2020-02-13,23849.759766,23908.849609,23784.310547,23827.730469,23827.730469,64500000.0
2020-02-14,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100000.0
2020-02-15,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100000.0
2020-02-16,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100000.0
2020-02-17,23489.779297,23561.980469,23335.990234,23523.240234,23523.240234,54000000.0
2020-02-18,23398.570313,23402.009766,23133.599609,23193.800781,23193.800781,59500000.0
2020-02-19,23329.330078,23468.560547,23234.960938,23400.699219,23400.699219,61600000.0
2020-02-20,23666.580078,23806.560547,23426.419922,23479.150391,23479.150391,63300000.0
2020-02-21,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100000.0
2020-02-22,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100000.0
2020-02-23,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100000.0
2020-02-24,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100000.0
2020-02-25,22949.369141,22950.230469,22335.210938,22605.410156,22605.410156,105800000.0
2020-02-26,22374.140625,22456.550781,22127.419922,22426.189453,22426.189453,99300000.0
2020-02-27,22255.830078,22272.259766,21844.289063,21948.230469,21948.230469,106200000.0
2020-02-28,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500000.0
2020-02-29,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500000.0
2020-03-01,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500000.0
2020-03-02,20849.789063,21593.109375,20834.289063,21344.080078,21344.080078,123700000.0
2020-03-03,21651.990234,21719.779297,21082.730469,21082.730469,21082.730469,105300000.0
2020-03-04,20897.199219,21245.929688,20862.050781,21100.060547,21100.060547,94600000.0
2020-03-05,21399.869141,21399.869141,21220.759766,21329.119141,21329.119141,85700000.0
2020-03-06,21009.800781,21061.199219,20613.910156,20749.75,20749.75,111700000.0
2020-03-07,21009.800781,21061.199219,20613.910156,20749.75,20749.75,111700000.0
2020-03-08,21009.800781,21061.199219,20613.910156,20749.75,20749.75,111700000.0
2020-03-09,20343.310547,20347.189453,19472.259766,19698.759766,19698.759766,170300000.0
2020-03-10,19474.890625,19970.349609,18891.769531,19867.119141,19867.119141,164700000.0
2020-03-11,19758.259766,19974.830078,19392.25,19416.060547,19416.060547,129200000.0
2020-03-12,19064.509766,19142.179688,18339.269531,18559.630859,18559.630859,164600000.0
2020-03-13,18183.470703,18184.460938,16690.599609,17431.050781,17431.050781,233400000.0
2020-03-14,18183.470703,18184.460938,16690.599609,17431.050781,17431.050781,233400000.0
2020-03-15,18183.470703,18184.460938,16690.599609,17431.050781,17431.050781,233400000.0
2020-03-16,17586.080078,17785.759766,16914.449219,17002.039063,17002.039063,158100000.0
2020-03-17,16726.949219,17557.039063,16378.94043,17011.529297,17011.529297,198800000.0
2020-03-18,17154.080078,17396.839844,16698.460938,16726.550781,16726.550781,177200000.0
2020-03-19,16995.769531,17160.970703,16358.19043,16552.830078,16552.830078,198900000.0
2020-03-20,16995.769531,17160.970703,16358.19043,16552.830078,16552.830078,198900000.0
2020-03-21,16995.769531,17160.970703,16358.19043,16552.830078,16552.830078,198900000.0
2020-03-22,16995.769531,17160.970703,16358.19043,16552.830078,16552.830078,198900000.0
2020-03-23,16570.570313,17049.029297,16480.949219,16887.779297,16887.779297,170300000.0
2020-03-24,17206.880859,18100.390625,17197.140625,18092.349609,18092.349609,147300000.0
2020-03-25,18446.800781,19564.380859,18446.800781,19546.630859,19546.630859,147700000.0
2020-03-26,19234.769531,19240.289063,18512.810547,18664.599609,18664.599609,128100000.0
2020-03-27,19021.970703,19389.429688,18832.210938,19389.429688,19389.429688,148900000.0
2020-03-28,19021.970703,19389.429688,18832.210938,19389.429688,19389.429688,148900000.0
2020-03-29,19021.970703,19389.429688,18832.210938,19389.429688,19389.429688,148900000.0
2020-03-30,18884.070313,19084.970703,18578.199219,19084.970703,19084.970703,121000000.0
2020-03-31,19181.900391,19336.189453,18834.160156,18917.009766,18917.009766,122200000.0
2020-04-01,18686.119141,18784.25,17871.619141,18065.410156,18065.410156,105800000.0
2020-04-02,17934.419922,18132.039063,17707.660156,17818.720703,17818.720703,107300000.0
2020-04-03,17951.439453,18059.150391,17646.5,17820.189453,17820.189453,96000000.0
2020-04-04,17951.439453,18059.150391,17646.5,17820.189453,17820.189453,96000000.0
2020-04-05,17951.439453,18059.150391,17646.5,17820.189453,17820.189453,96000000.0
2020-04-06,17857.990234,18672.259766,17802.619141,18576.300781,18576.300781,105700000.0
2020-04-07,18878.859375,19162.519531,18553.140625,18950.179688,18950.179688,108200000.0
2020-04-08,19047.759766,19454.339844,18730.800781,19353.240234,19353.240234,105900000.0
2020-04-09,19376.0,19406.960938,19158.550781,19345.769531,19345.769531,82300000.0
2020-04-10,19500.070313,19500.070313,19235.960938,19498.5,19498.5,87500000.0
2020-04-11,19500.070313,19500.070313,19235.960938,19498.5,19498.5,87500000.0
2020-04-12,19500.070313,19500.070313,19235.960938,19498.5,19498.5,87500000.0
2020-04-13,19312.039063,19355.039063,19014.320313,19043.400391,19043.400391,65600000.0
2020-04-14,19150.300781,19705.990234,19093.119141,19638.810547,19638.810547,81900000.0
2020-04-15,19589.25,19660.679688,19465.949219,19550.089844,19550.089844,94100000.0
2020-04-16,19311.300781,19362.169922,19154.410156,19290.199219,19290.199219,81400000.0
2020-04-17,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800000.0
2020-04-18,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800000.0
2020-04-19,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800000.0
2020-04-20,19689.849609,19784.380859,19611.789063,19669.119141,19669.119141,65000000.0
2020-04-21,19479.830078,19529.060547,19193.220703,19280.779297,19280.779297,79400000.0
2020-04-22,19109.179688,19137.949219,18858.25,19137.949219,19137.949219,76400000.0
2020-04-23,19313.039063,19429.439453,19221.539063,19429.439453,19429.439453,72600000.0
2020-04-24,19331.859375,19352.240234,19175.380859,19262.0,19262.0,84700000.0
2020-04-25,19331.859375,19352.240234,19175.380859,19262.0,19262.0,84700000.0
2020-04-26,19331.859375,19352.240234,19175.380859,19262.0,19262.0,84700000.0
2020-04-27,19410.839844,19819.060547,19410.179688,19783.220703,19783.220703,77600000.0
2020-04-28,19776.179688,19841.779297,19638.480469,19771.189453,19771.189453,68600000.0
2020-04-29,19776.179688,19841.779297,19638.480469,19771.189453,19771.189453,68600000.0
2020-04-30,20105.679688,20365.890625,20084.830078,20193.689453,20193.689453,103400000.0
2020-05-01,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-02,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-03,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-04,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-05,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-06,19991.970703,20000.25,19551.730469,19619.349609,19619.349609,86600000.0
2020-05-07,19468.519531,19720.869141,19448.929688,19674.769531,19674.769531,82900000.0
2020-05-08,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200000.0
2020-05-09,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200000.0
2020-05-10,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200000.0
2020-05-11,20333.730469,20534.880859,20285.039063,20390.660156,20390.660156,76200000.0
2020-05-12,20413.230469,20457.369141,20293.970703,20366.480469,20366.480469,67700000.0
2020-05-13,20140.919922,20329.890625,20056.460938,20267.050781,20267.050781,79500000.0
2020-05-14,20140.490234,20185.0,19902.929688,19914.779297,19914.779297,76900000.0
2020-05-15,20149.789063,20198.25,19832.880859,20037.470703,20037.470703,75200000.0
2020-05-16,20149.789063,20198.25,19832.880859,20037.470703,20037.470703,75200000.0
2020-05-17,20149.789063,20198.25,19832.880859,20037.470703,20037.470703,75200000.0
2020-05-18,20097.619141,20197.589844,19999.099609,20133.730469,20133.730469,71900000.0
2020-05-19,20469.519531,20659.460938,20433.449219,20433.449219,20433.449219,93000000.0
2020-05-20,20454.490234,20684.460938,20454.029297,20595.150391,20595.150391,71800000.0
2020-05-21,20692.589844,20734.910156,20503.869141,20552.310547,20552.310547,62900000.0
2020-05-22,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100000.0
2020-05-23,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100000.0
2020-05-24,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100000.0
2020-05-25,20653.410156,20741.650391,20584.060547,20741.650391,20741.650391,55100000.0
2020-05-26,20927.960938,21328.339844,20918.109375,21271.169922,21271.169922,87200000.0
2020-05-27,21249.310547,21475.679688,21142.720703,21419.230469,21419.230469,112000000.0
2020-05-28,21612.900391,21926.289063,21580.5,21916.310547,21916.310547,134000000.0
2020-05-29,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200000.0
2020-05-30,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200000.0
2020-05-31,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200000.0
2020-06-01,21910.890625,22161.390625,21898.990234,22062.390625,22062.390625,72200000.0
2020-06-02,22175.519531,22401.789063,22118.400391,22325.609375,22325.609375,77900000.0
2020-06-03,22649.009766,22818.869141,22462.679688,22613.759766,22613.759766,94100000.0
2020-06-04,22885.140625,22907.919922,22501.810547,22695.740234,22695.740234,92000000.0
2020-06-05,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600000.0
2020-06-06,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600000.0
2020-06-07,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600000.0
2020-06-08,23121.980469,23178.099609,23028.619141,23178.099609,23178.099609,108500000.0
2020-06-09,23135.789063,23185.849609,22933.140625,23091.029297,23091.029297,91500000.0
2020-06-10,22939.0,23175.820313,22900.300781,23124.949219,23124.949219,75600000.0
2020-06-11,22848.019531,22939.390625,22466.539063,22472.910156,22472.910156,105900000.0
2020-06-12,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500000.0
2020-06-13,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500000.0
2020-06-14,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500000.0
2020-06-15,22135.269531,22251.830078,21529.830078,21530.949219,21530.949219,78500000.0
2020-06-16,21912.289063,22624.140625,21899.480469,22582.210938,22582.210938,100100000.0
2020-06-17,22517.140625,22536.380859,22318.070313,22455.759766,22455.759766,72500000.0
2020-06-18,22363.880859,22432.25,22125.349609,22355.460938,22355.460938,65200000.0
2020-06-19,22515.75,22523.660156,22352.160156,22478.789063,22478.789063,97000000.0
2020-06-20,22515.75,22523.660156,22352.160156,22478.789063,22478.789063,97000000.0
2020-06-21,22515.75,22523.660156,22352.160156,22478.789063,22478.789063,97000000.0
2020-06-22,22353.689453,22575.740234,22311.939453,22437.269531,22437.269531,54600000.0
2020-06-23,22636.060547,22693.890625,22257.140625,22549.050781,22549.050781,0.0
2020-06-24,22541.009766,22663.289063,22479.859375,22534.320313,22534.320313,67000000.0
2020-06-25,22287.869141,22423.410156,22165.140625,22259.789063,22259.789063,80800000.0
2020-06-26,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600000.0
2020-06-27,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600000.0
2020-06-28,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600000.0
2020-06-29,22255.050781,22281.380859,21969.589844,21995.039063,21995.039063,73700000.0
2020-06-30,22335.099609,22448.300781,22273.380859,22288.140625,22288.140625,74200000.0
2020-07-01,22338.300781,22360.310547,22039.560547,22121.730469,22121.730469,67400000.0
2020-07-02,22182.679688,22267.509766,22072.109375,22145.960938,22145.960938,73600000.0
2020-07-03,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700000.0
2020-07-04,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700000.0
2020-07-05,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700000.0
2020-07-06,22341.269531,22734.109375,22325.75,22714.439453,22714.439453,58000000.0
2020-07-07,22649.900391,22742.279297,22540.439453,22614.689453,22614.689453,62700000.0
2020-07-08,22481.609375,22667.949219,22438.650391,22438.650391,22438.650391,64900000.0
2020-07-09,22442.300781,22679.080078,22434.380859,22529.289063,22529.289063,65200000.0
2020-07-10,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800000.0
2020-07-11,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800000.0
2020-07-12,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800000.0
2020-07-13,22591.810547,22784.740234,22561.470703,22784.740234,22784.740234,71200000.0
2020-07-14,22631.869141,22677.019531,22538.779297,22587.009766,22587.009766,61000000.0
2020-07-15,22817.910156,22965.560547,22800.109375,22945.5,22945.5,72600000.0
2020-07-16,22907.960938,22925.900391,22739.419922,22770.359375,22770.359375,89400000.0
2020-07-17,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900000.0
2020-07-18,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900000.0
2020-07-19,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900000.0
2020-07-20,22772.070313,22788.529297,22580.189453,22717.480469,22717.480469,50000000.0
2020-07-21,22789.380859,22925.580078,22780.220703,22884.220703,22884.220703,68600000.0
2020-07-22,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400000.0
2020-07-23,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400000.0
2020-07-24,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400000.0
2020-07-25,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400000.0
2020-07-26,22791.75,22855.310547,22732.919922,22751.609375,22751.609375,65400000.0
2020-07-27,22495.949219,22741.130859,22429.570313,22715.849609,22715.849609,71800000.0
2020-07-28,22735.019531,22842.189453,22646.220703,22657.380859,22657.380859,67800000.0
2020-07-29,22543.890625,22584.869141,22366.339844,22397.109375,22397.109375,74300000.0
2020-07-30,22489.240234,22506.599609,22334.710938,22339.230469,22339.230469,77800000.0
2020-07-31,22267.589844,22295.050781,21710.0,21710.0,21710.0,106600000.0
2020-08-01,22267.589844,22295.050781,21710.0,21710.0,21710.0,106600000.0
2020-08-02,22267.589844,22295.050781,21710.0,21710.0,21710.0,106600000.0
2020-08-03,21947.580078,22214.589844,21919.830078,22195.380859,22195.380859,84000000.0
2020-08-04,22379.740234,22603.820313,22379.740234,22573.660156,22573.660156,89100000.0
2020-08-05,22479.720703,22554.199219,22356.25,22514.849609,22514.849609,74000000.0
2020-08-06,22471.710938,22587.75,22362.890625,22418.150391,22418.150391,62600000.0
2020-08-07,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700000.0
2020-08-08,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700000.0
2020-08-09,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700000.0
2020-08-10,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700000.0
2020-08-11,22505.509766,22760.869141,22497.070313,22750.240234,22750.240234,99300000.0
2020-08-12,22747.439453,22874.369141,22670.740234,22843.960938,22843.960938,90800000.0
2020-08-13,23123.359375,23316.689453,23111.5,23249.609375,23249.609375,84800000.0
2020-08-14,23323.919922,23338.789063,23222.849609,23289.359375,23289.359375,59800000.0
2020-08-15,23323.919922,23338.789063,23222.849609,23289.359375,23289.359375,59800000.0
2020-08-16,23323.919922,23338.789063,23222.849609,23289.359375,23289.359375,59800000.0
2020-08-17,23189.480469,23248.75,23068.529297,23096.75,23096.75,43600000.0
2020-08-18,23097.800781,23128.179688,22948.890625,23051.080078,23051.080078,55600000.0
2020-08-19,22997.929688,23149.849609,22953.599609,23110.609375,23110.609375,50100000.0
2020-08-20,23003.580078,23078.359375,22851.830078,22880.619141,22880.619141,50200000.0
2020-08-21,23022.759766,23135.429688,22920.300781,22920.300781,22920.300781,51200000.0
2020-08-22,23022.759766,23135.429688,22920.300781,22920.300781,22920.300781,51200000.0
2020-08-23,23022.759766,23135.429688,22920.300781,22920.300781,22920.300781,51200000.0
2020-08-24,22913.199219,23012.710938,22862.539063,22985.509766,22985.509766,40600000.0
2020-08-25,23242.740234,23431.039063,23225.390625,23296.769531,23296.769531,75300000.0
2020-08-26,23257.050781,23348.800781,23203.0,23290.859375,23290.859375,47800000.0
2020-08-27,23311.039063,23323.070313,23177.849609,23208.859375,23208.859375,52700000.0
2020-08-28,23232.300781,23376.130859,22594.789063,22882.650391,22882.650391,98100000.0
2020-08-29,23232.300781,23376.130859,22594.789063,22882.650391,22882.650391,98100000.0
2020-08-30,23232.300781,23376.130859,22594.789063,22882.650391,22882.650391,98100000.0
2020-08-31,23147.140625,23342.320313,23102.609375,23139.759766,23139.759766,81000000.0
2020-09-01,23089.630859,23206.660156,23047.769531,23138.070313,23138.070313,59600000.0
2020-09-02,23261.089844,23287.400391,23170.820313,23247.150391,23247.150391,52600000.0
2020-09-03,23524.490234,23580.509766,23426.109375,23465.529297,23465.529297,57500000.0
2020-09-04,23130.320313,23257.689453,23098.769531,23205.429688,23205.429688,59300000.0
2020-09-05,23130.320313,23257.689453,23098.769531,23205.429688,23205.429688,59300000.0
